UserID,timestamp_for_sorting
244403376,2024-05-13 14:25:53
244403521,2024-05-13 14:28:02
244403535,2024-05-13 14:28:27
244403456,2024-05-13 14:28:34
244403395,2024-05-13 14:29:01
244403735,2024-05-13 14:29:27
244403909,2024-05-13 14:29:37
244403899,2024-05-13 14:29:43
244403412,2024-05-13 14:29:49
244403450,2024-05-13 14:29:56
244403509,2024-05-13 14:30:15
244403575,2024-05-13 14:30:24
244403889,2024-05-13 14:31:13
244403694,2024-05-13 14:31:35
244403714,2024-05-13 14:31:49
244404110,2024-05-13 14:31:51
244403791,2024-05-13 14:31:56
244404021,2024-05-13 14:32:02
244403428,2024-05-13 14:32:08
244403654,2024-05-13 14:32:10
244403957,2024-05-13 14:32:13
244403616,2024-05-13 14:32:25
244403914,2024-05-13 14:32:30
244404015,2024-05-13 14:32:48
244404146,2024-05-13 14:33:30
244404106,2024-05-13 14:33:31
244403718,2024-05-13 14:33:58
244404441,2024-05-13 14:34:12
244404049,2024-05-13 14:34:18
244403691,2024-05-13 14:34:28
244404003,2024-05-13 14:34:36
244403850,2024-05-13 14:34:39
244404030,2024-05-13 14:34:46
244404381,2024-05-13 14:34:52
244404122,2024-05-13 14:35:09
244404312,2024-05-13 14:35:17
244404045,2024-05-13 14:35:22
244403751,2024-05-13 14:35:28
244403917,2024-05-13 14:36:06
244404252,2024-05-13 14:36:18
244404534,2024-05-13 14:36:47
244404371,2024-05-13 14:36:52
244403867,2024-05-13 14:37:08
244404791,2024-05-13 14:37:16
244403687,2024-05-13 14:37:22
244404603,2024-05-13 14:37:23
244404268,2024-05-13 14:37:34
244404696,2024-05-13 14:37:40
244404678,2024-05-13 14:37:41
244404940,2024-05-13 14:37:48
244404645,2024-05-13 14:37:48
244404550,2024-05-13 14:37:53
244404635,2024-05-13 14:37:54
244404909,2024-05-13 14:38:19
244404233,2024-05-13 14:38:33
244404132,2024-05-13 14:38:34
244404711,2024-05-13 14:38:40
244404945,2024-05-13 14:38:51
244404323,2024-05-13 14:38:54
244404861,2024-05-13 14:38:54
244404851,2024-05-13 14:38:58
244404532,2024-05-13 14:39:10
244404713,2024-05-13 14:39:19
244404276,2024-05-13 14:39:27
244404805,2024-05-13 14:39:37
244404644,2024-05-13 14:40:07
244405035,2024-05-13 14:40:07
244405007,2024-05-13 14:40:14
244404968,2024-05-13 14:40:17
244404559,2024-05-13 14:40:36
244405126,2024-05-13 14:40:53
244405119,2024-05-13 14:40:57
244404715,2024-05-13 14:41:44
244404327,2024-05-13 14:42:04
244405203,2024-05-13 14:42:18
244405247,2024-05-13 14:42:20
244405031,2024-05-13 14:42:20
244404862,2024-05-13 14:42:38
244405140,2024-05-13 14:42:40
244404996,2024-05-13 14:42:42
244405017,2024-05-13 14:42:43
244404229,2024-05-13 14:43:14
244405094,2024-05-13 14:43:46
244405451,2024-05-13 14:43:48
244405244,2024-05-13 14:43:55
244405227,2024-05-13 14:43:55
244404979,2024-05-13 14:44:03
244403568,2024-05-13 14:44:04
244405188,2024-05-13 14:44:13
244403871,2024-05-13 14:44:23
244404963,2024-05-13 14:44:25
244404661,2024-05-13 14:44:27
244404710,2024-05-13 14:44:34
244405594,2024-05-13 14:44:36
244403595,2024-05-13 14:44:54
244405183,2024-05-13 14:45:09
244405411,2024-05-13 14:45:10
244405395,2024-05-13 14:45:15
244405102,2024-05-13 14:45:20
244404965,2024-05-13 14:45:29
244405230,2024-05-13 14:45:32
244404730,2024-05-13 14:45:36
244405616,2024-05-13 14:45:39
244405593,2024-05-13 14:45:47
244405643,2024-05-13 14:45:47
244405098,2024-05-13 14:45:58
244405232,2024-05-13 14:46:17
244405274,2024-05-13 14:46:17
244405881,2024-05-13 14:46:31
244405605,2024-05-13 14:46:36
244405353,2024-05-13 14:46:40
244405123,2024-05-13 14:46:52
244405467,2024-05-13 14:47:07
244405563,2024-05-13 14:47:08
244405669,2024-05-13 14:47:08
244405791,2024-05-13 14:47:22
244405276,2024-05-13 14:47:26
244405299,2024-05-13 14:47:39
244405383,2024-05-13 14:47:58
244405423,2024-05-13 14:48:02
244405722,2024-05-13 14:48:03
244405801,2024-05-13 14:48:10
244404466,2024-05-13 14:48:15
244405719,2024-05-13 14:48:25
244405718,2024-05-13 14:48:37
244405728,2024-05-13 14:48:38
244405812,2024-05-13 14:48:49
244405538,2024-05-13 14:49:04
244405839,2024-05-13 14:49:15
244405931,2024-05-13 14:49:29
244405789,2024-05-13 14:49:56
244405391,2024-05-13 14:50:12
244405857,2024-05-13 14:50:13
244406086,2024-05-13 14:50:18
244406355,2024-05-13 14:50:40
