,UserID,they_user,he_user,it_user,she_user,any_user,questioning,avoid_pronouns/name_as_pronoun,number_of_sets,number_of_big_three,neopronoun_user,she_only,he_only,they_only,it_only,neopronoun_only,she/they,he/they,she/he,she/it,he/it,they/it,she/[neo],he/[neo],they/[neo],she/he/they
46,244404268,Yes,Yes,None,None,None,None,None,4.0,2.0,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None
47,244404696,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
48,244404678,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
49,244404940,None,Yes,None,None,None,None,None,1.0,1.0,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None
50,244404645,Yes,Yes,Yes,None,None,None,None,4.0,2.0,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None
51,244404550,Yes,Yes,None,Yes,None,None,None,3.0,3.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
52,244404635,None,Yes,Yes,None,None,None,Yes,4.0,1.0,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
53,244404909,Yes,None,None,Yes,None,None,None,2.0,2.0,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None
54,244404233,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
55,244404132,Yes,None,Yes,None,Yes,None,None,2.0,1.0,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None
56,244404711,Yes,Yes,None,Yes,None,None,Yes,3.0,3.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
57,244404945,None,None,None,None,Yes,None,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
58,244404323,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
59,244404861,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
60,244404851,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
61,244404532,None,Yes,None,None,None,None,None,4.0,1.0,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
62,244404713,Yes,Yes,None,None,None,None,Yes,3.0,2.0,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None
63,244404276,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
64,244404805,Yes,None,None,None,None,None,Yes,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
65,244404644,Yes,None,None,None,None,None,None,2.0,1.0,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None
66,244405035,Yes,None,None,Yes,None,None,None,2.0,2.0,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None
67,244405007,Yes,Yes,None,Yes,None,None,None,3.0,3.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
68,244404968,Yes,None,None,None,Yes,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
69,244404559,Yes,Yes,None,Yes,None,None,None,3.0,3.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
70,244405126,Yes,None,None,Yes,None,None,None,2.0,2.0,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None
71,244405119,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
72,244404715,Yes,Yes,None,Yes,None,None,Yes,3.0,3.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
73,244404327,None,None,Yes,None,None,None,None,2.0,0.0,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
74,244405203,Yes,Yes,None,Yes,Yes,None,None,3.0,3.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes
75,244405247,Yes,Yes,None,Yes,None,None,None,4.0,3.0,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
76,244405031,Yes,None,None,Yes,None,None,Yes,2.0,2.0,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None
77,244404862,Yes,None,None,Yes,None,Yes,None,2.0,2.0,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None
78,244405140,Yes,None,Yes,Yes,None,Yes,None,4.0,2.0,Yes,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None
79,244404996,None,None,None,None,Yes,None,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80,244405017,Yes,Yes,Yes,Yes,None,None,None,5.0,3.0,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
81,244404229,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
82,244405094,None,Yes,Yes,None,None,None,None,2.0,1.0,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None
83,244405451,Yes,Yes,Yes,None,None,None,None,3.0,2.0,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None
84,244405244,None,None,Yes,None,Yes,None,None,1.0,0.0,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None
85,244405227,None,None,None,None,Yes,None,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
86,244404979,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
87,244403568,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
88,244405188,None,Yes,None,None,Yes,None,None,2.0,1.0,Yes,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None
89,244403871,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
90,244404963,Yes,Yes,None,None,None,None,None,4.0,2.0,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None
91,244404661,Yes,None,None,Yes,None,None,None,3.0,2.0,Yes,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None
92,244404710,Yes,None,None,None,None,None,None,2.0,1.0,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None
93,244405594,Yes,Yes,None,None,None,None,None,2.0,2.0,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None
94,244403595,Yes,Yes,None,None,None,None,None,2.0,2.0,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None
95,244405183,Yes,None,None,Yes,None,None,None,2.0,2.0,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None
96,244405411,None,Yes,None,Yes,None,None,None,2.0,2.0,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None
97,244405395,Yes,None,None,Yes,None,None,None,3.0,2.0,Yes,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None
98,244405102,None,None,None,None,Yes,None,Yes,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
99,244404965,Yes,Yes,None,Yes,None,None,None,3.0,3.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
